"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 15 17:26:21 ICT 2024","Sun Sep 15 17:26:25 ICT 2024","4573","","Testcase_Upload_Financing","","","","testcase_005","Testcase *Negatif* : input tanggal batch yang kosong. 
     
    *pesan error : Harap isi nama batch!
       "
"passed","Sun Sep 15 17:28:49 ICT 2024","Sun Sep 15 17:28:53 ICT 2024","3451","","Testcase_Upload_Financing","","","","testcase_048","Testcase *Positif* : input Tanggal Angsuran dengan data valid dua digit (10-31)"
"passed","Sun Sep 15 17:26:34 ICT 2024","Sun Sep 15 17:26:37 ICT 2024","2658","","Testcase_Upload_Financing","","","","testcase_010","Testcase *Positif* :  input Nominal Pinjaman dengan data valid *Only Number"
"passed","Sun Sep 15 17:28:07 ICT 2024","Sun Sep 15 17:28:12 ICT 2024","4529","","Testcase_Upload_Financing","","","","testcase_039","Testcase *Positif* pilih Suku bunga dropdown valid.
    
    "
"passed","Sun Sep 15 17:28:53 ICT 2024","Sun Sep 15 17:28:55 ICT 2024","2326","","Testcase_Upload_Financing","","","","testcase_049","Testcase *Negatif* : Input Tanggal Angsuran dengan nilai nol expect sistem akan otomatis kosong"
"passed","Sun Sep 15 17:26:30 ICT 2024","Sun Sep 15 17:26:33 ICT 2024","3128","","Testcase_Upload_Financing","","","","testcase_008","Testcase *Positif* : input Nomor Pinjaman valid"
"passed","Sun Sep 15 17:27:28 ICT 2024","Sun Sep 15 17:27:30 ICT 2024","2697","","Testcase_Upload_Financing","","","","testcase_027","Testcase *Positif* input tujuan pinjaman dengan teks panjang yang valid."
"passed","Sun Sep 15 17:27:51 ICT 2024","Sun Sep 15 17:27:53 ICT 2024","2397","","Testcase_Upload_Financing","","","","testcase_034","Testcase *Negatif* : input bunga dengan format tidak valid (lebih dari dua digit setelah desimal)
    
    sistem otomatis menghapus.
    "
"passed","Sun Sep 15 17:26:37 ICT 2024","Sun Sep 15 17:26:39 ICT 2024","2344","","Testcase_Upload_Financing","","","","testcase_011","Testcase *Negatif* : input nominal pinjaman dengan input yang tidak valid."
"passed","Sun Sep 15 17:26:08 ICT 2024","Sun Sep 15 17:26:12 ICT 2024","3548","","Testcase_Upload_Financing","","","","testcase_002","Testcase *Negatif* : input tanggal batch dengan tanggal yang tidak ada.

    Catatan: Validasi untuk tanggal yang tidak ada telah ditambahkan ke sistem.
    contoh input 32 sistem akan otomatis menjadi ""2024-10-02""
    "
"passed","Sun Sep 15 17:26:12 ICT 2024","Sun Sep 15 17:26:16 ICT 2024","4541","","Testcase_Upload_Financing","","","","testcase_003","Testcase *Negatif* : input tanggal batch dengan bulan yang tidak ada.

    Catatan: Validasi untuk bulan yang tidak ada telah ditambahkan ke sistem.
    contoh input bulan 13 sistem akan otomatis menjadi ""bulan : 01""
    "
