"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Invoice Financing","RW Perusahaan","0","0","4","0","0"
"","Invoice Financing","Validasi Kota","0","0","1","0","0"
"","Invoice Financing","Validasi Kelurahan","0","0","4","0","0"
"","Invoice Financing","Validasi Kecamatan Negatif","0","0","3","0","0"
"","Invoice Financing","Validasi Kota Negatif","0","0","3","0","0"
"","Invoice Financing","Email PIC","0","0","4","0","0"
"","Invoice Financing","Nomor NPWP Perusahaan","0","0","4","0","0"
"","Invoice Financing","Tanggal Pendirian","0","0","2","0","0"
"","Invoice Financing","Nomor Sertifikat","0","0","2","0","0"
"","Invoice Financing","Pendapatan per Bulan (Rp)","0","0","2","0","0"
"","Invoice Financing","Nominal Telepon Invalid *Negatif*","0","0","2","0","0"
"","Invoice Financing","Nomor Telepon PIC","0","0","3","0","0"
"","Invoice Financing","Tanggal Sertifikat","0","0","2","0","0"
"","Invoice Financing","Identitas Perwakilan (KTP)","0","0","4","0","0"
"","Invoice Financing","Validasi Provinsi Negatif","0","0","1","0","0"
"","Invoice Financing","Jenis Institusi Invalid","0","0","1","0","0"
"","Invoice Financing","Validasi Kode Pos","0","0","1","0","0"
"","Invoice Financing","RT Perusahaan","0","0","4","0","0"
"","Invoice Financing","Tanggal Legalitas / Tanggal Akta Perubahan Terakhir","0","0","2","0","0"
"","Invoice Financing","Total Aset Perusahaan (Rp)","0","0","2","0","0"
"","Invoice Financing","Nomor Legalitas","0","0","2","0","0"
"","Invoice Financing","Bentuk Institusi Valid","0","0","1","0","0"
"","Invoice Financing","Validasi Kecamatan","0","0","1","0","0"
"","Invoice Financing","Validasi Provinsi","0","0","1","0","0"
"","Invoice Financing","Bidang Perusahaan Valid","0","0","1","0","0"
"","Invoice Financing","Bentuk Institusi Invalid","0","0","1","0","0"
"","Invoice Financing","Nomor Telepon Valid","0","0","1","0","0"
"","Invoice Financing","Jenis Institusi Valid","0","0","1","0","0"
"","Invoice Financing","Tempat Pendirian","0","0","2","0","0"
"","Invoice Financing","Validasi Kode Pos Negatif","0","0","1","0","0"
"","Invoice Financing","Bidang Perusahaan Invalid","0","0","1","0","0"
