"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 14 01:23:35 ICT 2024","Sat Sep 14 01:23:39 ICT 2024","4602","","Testcase_Upload_Financing","","","","testcase_38","Testcase *Negatif*: Input minimal bunga dengan format tidak valid

    expect : Range bunga adalah 0.01 - 99.99!
    result : 
    
    "
"passed","Sat Sep 14 01:27:53 ICT 2024","Sat Sep 14 01:27:57 ICT 2024","3990","","Testcase_Upload_Financing","","","","testcase_071","Testcase Negatif: mencoba Input Nilai Jaminan 2 dengan angka desimal

    0,02
    
    kena validasi : ""Harap isi Nilai Jaminan 2!""
    "
"failed","Sat Sep 14 01:25:36 ICT 2024","Sat Sep 14 01:25:39 ICT 2024","3419","","Testcase_Upload_Financing","","","","testcase_066","Testcase *Negatif* input Nomor Jaminan kosong"
"passed","Sat Sep 14 01:23:59 ICT 2024","Sat Sep 14 01:24:04 ICT 2024","4639","","Testcase_Upload_Financing","","","","testcase_043","Testcase *Negatif* : input Tanggal Akad Kredit dengan tanggal yang tidak ada.

    Catatan: Validasi untuk tanggal yang tidak ada telah ditambahkan ke sistem.
    contoh input 32 sistem akan otomatis menjadi ""2024-10-02""
    "
"passed","Sat Sep 14 01:22:50 ICT 2024","Sat Sep 14 01:22:53 ICT 2024","3254","","Testcase_Upload_Financing","","","","testcase_025","Testcase *Positif* : input Tujuan Pinjaman valid *Freetext*
    
    "
"passed","Sat Sep 14 01:25:09 ICT 2024","Sat Sep 14 01:25:13 ICT 2024","4446","","Testcase_Upload_Financing","","","","testcase_060","Testcase *Negatif* : input Nilai Jaminan dengan angka *Negatif*.
    
    catatan : Sistem telah update untuk *Negatif* (-) tidak di terima.
    "
"passed","Sat Sep 14 01:21:26 ICT 2024","Sat Sep 14 01:21:31 ICT 2024","4691","","Testcase_Upload_Financing","","","","testcase_004","Testcase *Negatif* : input tanggal batch dengan format yang salah.

    catatan : case minor "
"passed","Sat Sep 14 01:24:31 ICT 2024","Sat Sep 14 01:24:35 ICT 2024","3407","","Testcase_Upload_Financing","","","","testcase_051","Testcase *Negatif* untuk input Tanggal Angsuran dengan format salah
    
    Contoh : input 01 akan otomatis menjadi 1
    "
"passed","Sat Sep 14 01:24:42 ICT 2024","Sat Sep 14 01:24:49 ICT 2024","7312","","Testcase_Upload_Financing","","","","testcase_054","
    * Data Uji:
    - Tenor: 3 bulan
    - Tanggal Akad Kredit: 2028/01/25
    - Tanggal Angsuran: 31

    Harapan: angsuran pertama 2028-02-29 dan angsuran terakhir dibayar 2028-05-31
    "
"passed","Sat Sep 14 01:48:58 ICT 2024","Sat Sep 14 01:49:10 ICT 2024","11818","","Testcase_Upload_Financing","","","","testcase_015","Testcase *Negatif*: mencoba Input Nominal Pinjaman dengan ""KOMA"" berulang dan verifikasi pesan kesalahan.
    
    Note: sistem otomatis menghapus value yang bukan numeric.
    "
"passed","Sat Sep 14 01:21:31 ICT 2024","Sat Sep 14 01:21:35 ICT 2024","4598","","Testcase_Upload_Financing","","","","testcase_005","Testcase *Negatif* : input tanggal batch yang kosong. 
     
    *pesan error : Harap isi nama batch!
       "
"passed","Sat Sep 14 01:22:17 ICT 2024","Sat Sep 14 01:22:22 ICT 2024","4663","","Testcase_Upload_Financing","","","","testcase_018","Testcase Negatif: mencoba Input Nominal Pinjaman dengan ""Nol"" berulang dan verifikasi pesan kesalahan.
    
    "
"passed","Sat Sep 14 01:25:32 ICT 2024","Sat Sep 14 01:25:36 ICT 2024","3904","","Testcase_Upload_Financing","","","","testcase_065","Testcase *Positif* input Nomor Jaminan valid
    
    catatan : only numeric
    "
"passed","Sat Sep 14 01:21:47 ICT 2024","Sat Sep 14 01:21:49 ICT 2024","2353","","Testcase_Upload_Financing","","","","testcase_011","Testcase *Negatif* : input nominal pinjaman dengan input yang tidak valid."
